StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,brand,att_1,att_2,model,long,purchase,drive,acceleration_3,smooth_3,ease_3,issues_3,comp_1,comp_2,automation,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,ai_knowledge_1,aware,used,workerID,hitID,assignmentId,projectId
2024-11-18 07:11:34,2024-11-18 07:12:41,0,104.218.199.8,100,67,1,2024-11-18 07:12:42,R_5MHdClnDWANSvdf,,,,,33.4475,-112.0866,anonymous,EN,1,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:11:40,2024-11-18 07:13:15,0,154.7.225.177,100,94,1,2024-11-18 07:13:15,R_3N951nL2TXGesg5,,,,,39.0469,-77.4903,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:13:59,2024-11-18 07:14:26,0,67.241.216.213,100,26,1,2024-11-18 07:14:26,R_5QFHwrEAqkKhJrl,,,,,44.8227,-68.8001,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:14:37,2024-11-18 07:17:35,0,73.31.117.95,100,177,1,2024-11-18 07:17:35,R_7g5Q1CqdsxberDj,,,,,37.1232,-79.281,anonymous,EN,1,10,2,5,Model 3,2,1,1,94,100,79,82,3,4,5,1,,3,,46,5,,88,2,2,,,,
2024-11-18 07:17:16,2024-11-18 07:17:37,0,162.224.207.188,100,21,1,2024-11-18 07:17:38,R_3WNLmz8h9oNGYf4,,,,,36.1053,-79.8762,anonymous,EN,1,"6,11",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:13:27,2024-11-18 07:18:12,0,154.7.225.177,100,285,1,2024-11-18 07:18:13,R_7Oe496qUW3orEsF,,,,,39.0469,-77.4903,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:15:35,2024-11-18 07:18:39,0,107.180.173.204,100,183,1,2024-11-18 07:18:39,R_7D5lfcqK1nEPRJk,,,,,37.751,-97.822,anonymous,EN,1,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:16:02,2024-11-18 07:18:56,0,71.233.188.171,100,174,1,2024-11-18 07:18:56,R_6rRYVlMKv8GxNmx,,,,,42.3253,-71.0951,anonymous,EN,1,10,2,5,model x,2,1,1,81,97,81,93,2,4,5,1,,1,,53,4,,75,2,2,,,,
2024-11-18 07:20:34,2024-11-18 07:21:12,0,172.58.125.232,100,37,1,2024-11-18 07:21:13,R_7NELL0uUAqeLNV2,,,,,42.4257,-83.1522,anonymous,EN,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:25:04,2024-11-18 07:25:43,0,75.8.34.194,100,38,1,2024-11-18 07:25:43,R_6DtFhKJdwC9y6qE,,,,,32.7261,-97.3183,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:26:24,2024-11-18 07:28:27,0,154.7.225.132,100,122,1,2024-11-18 07:28:27,R_3oLMQWZ7fGQwONM,,,,,39.0469,-77.4903,anonymous,EN,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:21:08,2024-11-18 07:29:19,0,172.56.122.149,100,490,1,2024-11-18 07:29:19,R_5PG3vXTRtXciQWu,,,,,34.1928,-118.4886,anonymous,EN,1,10,2,5,cyber truck,1,1,1,100,100,100,100,2,4,6,2,,1,,68,7,,100,2,2,,,,
2024-11-18 07:26:30,2024-11-18 07:30:29,0,108.88.222.83,100,239,1,2024-11-18 07:30:30,R_1GdAMrwFSv0yvmC,,,,,35.2518,-90.0247,anonymous,EN,1,"1,2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:29:58,2024-11-18 07:30:53,0,162.0.204.107,100,54,1,2024-11-18 07:30:53,R_1IeRdrvmniS76MN,,,,,36.1938,-83.2784,anonymous,EN,1,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:29:59,2024-11-18 07:32:48,0,72.86.47.23,100,168,1,2024-11-18 07:32:49,R_5sbsa7f7plnrXNg,,,,,39.1783,-77.5196,anonymous,EN,1,"2,3,10",2,5,Model 3,2,1,1,100,100,100,100,2,4,5,1,,3,,47,5,,85,2,2,,,,
2024-11-18 07:27:02,2024-11-18 07:32:50,0,104.218.199.2,100,348,1,2024-11-18 07:32:51,R_5li4Z6VGeSzjSlz,,,,,33.4475,-112.0866,anonymous,EN,1,"2,10",2,5,Tesla Model 3,2,1,1,84,88,81,87,2,4,5,1,,3,,27,5,,73,2,3,,,,
2024-11-18 07:32:45,2024-11-18 07:33:13,0,24.164.63.92,100,27,1,2024-11-18 07:33:13,R_5Pb8gTCQrGTVsLR,,,,,27.8044,-82.2759,anonymous,EN,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:32:40,2024-11-18 07:33:30,0,69.218.230.46,100,50,1,2024-11-18 07:33:30,R_6XJE3tWa7wLCgbD,,,,,33.8775,-84.5017,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:29:34,2024-11-18 07:33:33,0,104.218.199.232,100,239,1,2024-11-18 07:33:34,R_1sc67YatyBy0Xp0,,,,,33.4475,-112.0866,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:27:20,2024-11-18 07:33:34,0,73.54.85.75,100,374,1,2024-11-18 07:33:34,R_3Lifbt6FyBDAJik,,,,,26.5337,-81.7062,anonymous,EN,1,10,2,5,Y,1,1,1,100,100,90,100,2,4,6,1,,3,,39,3,,32,2,2,,,,
2024-11-18 07:34:56,2024-11-18 07:36:03,0,81.161.4.205,100,66,1,2024-11-18 07:36:03,R_3JWJgKpM8CubEzs,,,,,40.7662,-74.0178,anonymous,EN,1,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:30:39,2024-11-18 07:37:17,0,45.194.100.172,100,397,1,2024-11-18 07:37:17,R_72ycvb3NUox4fsD,,,,,40.7123,-74.0068,anonymous,EN,1,10,2,5,tesla S,1,2,1,79,82,51,51,2,4,4,1,,3,,26,5,,70,2,2,,,,
2024-11-18 07:33:38,2024-11-18 07:37:40,0,154.7.225.95,100,241,1,2024-11-18 07:37:40,R_7zc41LxEMAYT50n,,,,,39.0469,-77.4903,anonymous,EN,1,10,2,5,Tesla Model 3,2,1,1,81,82,82,59,1,2,5,1,,1,,25,4,,70,2,2,,,,
2024-11-18 07:33:59,2024-11-18 07:38:43,0,89.46.3.227,100,283,1,2024-11-18 07:38:44,R_3Kl50fiJhRv3lPT,,,,,43.5213,-73.2471,anonymous,EN,1,10,2,5,Tesla model 3,2,1,1,80,75,91,90,2,4,2,2,,3,,27,4,,20,2,2,,,,
2024-11-18 07:34:47,2024-11-18 07:40:54,0,72.250.74.238,100,366,1,2024-11-18 07:40:54,R_1jWhpGBlK9wIcEN,,,,,41.8874,-87.6318,anonymous,EN,1,"2,10",2,5,model 3,1,1,1,100,68,62,63,2,4,4,2,,1,,23,4,,90,3,3,,,,
2024-11-18 07:40:44,2024-11-18 07:41:33,0,68.72.9.229,100,49,1,2024-11-18 07:41:34,R_5Hzu50wxb46lbVo,,,,,33.8574,-84.013,anonymous,EN,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:35:08,2024-11-18 07:44:27,0,154.7.225.84,100,558,1,2024-11-18 07:44:29,R_33kT4yBNhnfOHaV,,,,,39.0469,-77.4903,anonymous,EN,1,"2,10",2,5,model X,2,2,1,74,70,63,75,2,4,6,2,,3,,23,3,,40,2,3,,,,
2024-11-18 07:43:32,2024-11-18 07:44:37,0,108.144.199.159,100,64,1,2024-11-18 07:44:39,R_7tGo2J7YBCF9nQ8,,,,,37.751,-97.822,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:41:01,2024-11-18 07:44:45,0,142.196.39.191,100,223,1,2024-11-18 07:44:45,R_1VOwOY99MrAA0i7,,,,,28.5504,-81.1833,anonymous,EN,1,10,2,5,3,1,1,1,100,100,100,73,3,4,4,1,,3,,46,4,,100,2,2,,,,
2024-11-18 07:35:15,2024-11-18 07:45:10,0,104.251.93.219,100,594,1,2024-11-18 07:45:11,R_34MmD0qMGlu03g7,,,,,37.751,-97.822,anonymous,EN,1,10,2,5,MODEL Y,2,2,1,74,63,71,48,2,4,6,2,,1,,31,5,,51,2,3,,,,
2024-11-18 07:33:52,2024-11-18 07:45:39,0,76.114.81.155,100,706,1,2024-11-18 07:45:39,R_1bV2JiadTnX85fJ,,,,,35.8451,-86.4901,anonymous,EN,1,10,2,5,model 3,1,1,1,59,72,58,60,2,4,4,1,,1,,23,5,,78,2,2,,,,
2024-11-18 07:44:29,2024-11-18 07:47:54,0,100.37.49.87,100,204,1,2024-11-18 07:47:54,R_7TT8Aqo6h1PFwwW,,,,,40.5468,-74.1804,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:46:54,2024-11-18 07:48:16,0,172.56.79.129,100,81,1,2024-11-18 07:48:16,R_7HGOtWj5CVoU4vL,,,,,28.4883,-81.4061,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:47:23,2024-11-18 07:48:20,0,172.56.79.129,100,56,1,2024-11-18 07:48:20,R_5pMtFSTHkU3vuTf,,,,,28.5788,-81.4396,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:42:34,2024-11-18 07:49:45,0,154.7.225.111,100,431,1,2024-11-18 07:49:45,R_7mX79a9C11LSdcl,,,,,39.0469,-77.4903,anonymous,EN,1,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:47:39,2024-11-18 07:49:59,0,154.7.225.98,100,139,1,2024-11-18 07:50:00,R_1kLmaBfjG2dpZcE,,,,,39.0469,-77.4903,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:49:45,2024-11-18 07:51:33,0,156.228.126.44,100,108,1,2024-11-18 07:51:34,R_5MDtmaeS2Yx9kpy,,,,,40.7123,-74.0068,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:50:52,2024-11-18 07:51:37,0,68.63.50.191,100,45,1,2024-11-18 07:51:38,R_6PNyTxwSr25sQBe,,,,,30.6601,-88.1665,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:48:41,2024-11-18 07:51:44,0,140.233.229.246,100,182,1,2024-11-18 07:51:44,R_67O3JhBA9U1eSi2,,,,,37.751,-97.822,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:51:12,2024-11-18 07:53:20,0,162.193.39.18,100,127,1,2024-11-18 07:53:21,R_3ztOvgbuvdwdQNH,,,,,35.9306,-86.8788,anonymous,EN,1,10,2,5,y,2,1,1,100,86,100,90,2,4,6,1,,3,,49,7,,89,2,2,,,,
2024-11-18 07:53:45,2024-11-18 07:54:08,0,71.190.208.45,100,22,1,2024-11-18 07:54:08,R_1E5IvtTSZ9mPbHk,,,,,40.76,-73.5318,anonymous,EN,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:54:06,2024-11-18 07:54:55,0,73.41.22.37,100,49,1,2024-11-18 07:54:56,R_3WBeryo023EM0yu,,,,,38.4957,-121.5348,anonymous,EN,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:54:35,2024-11-18 07:55:15,0,64.84.106.66,100,40,1,2024-11-18 07:55:15,R_14qleGJYMirj6Wa,,,,,36.0767,-79.7946,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:52:05,2024-11-18 07:55:34,0,107.77.223.21,100,209,1,2024-11-18 07:55:35,R_51dEfADQPt9WT20,,,,,40.7359,-73.9904,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:55:38,2024-11-18 07:56:43,0,107.180.173.2,100,65,1,2024-11-18 07:56:44,R_7g6gYO772n0AGZJ,,,,,37.751,-97.822,anonymous,EN,1,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:50:43,2024-11-18 07:57:10,0,154.7.225.119,100,387,1,2024-11-18 07:57:11,R_3fJJjm61GqaYLTS,,,,,39.0469,-77.4903,anonymous,EN,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:57:29,2024-11-18 07:57:55,0,24.205.19.230,100,26,1,2024-11-18 07:57:56,R_1GjIXgznxfX9q3D,,,,,34.011,-118.1145,anonymous,EN,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:56:34,2024-11-18 07:58:04,0,154.7.225.225,100,90,1,2024-11-18 07:58:05,R_57zTcoOUYgDFZ1T,,,,,39.0469,-77.4903,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:57:49,2024-11-18 07:58:19,0,107.77.221.150,100,30,1,2024-11-18 07:58:20,R_7r7G8biUDdj5WnO,,,,,32.7797,-96.8022,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:54:29,2024-11-18 07:58:21,0,140.177.182.46,100,231,1,2024-11-18 07:58:21,R_60PHZYZBninyXXt,,,,,40.7687,-89.6024,anonymous,EN,1,10,2,5,Y,2,1,1,55,55,80,90,2,4,4,1,,3,,29,2,,60,2,2,,,,
2024-11-18 07:49:39,2024-11-18 07:58:34,0,71.143.152.90,100,535,1,2024-11-18 07:58:35,R_1bNsZH20f65O6GH,,,,,33.7542,-84.2601,anonymous,EN,1,"3,4,10",2,5,2024 TESLA MODEL S,1,1,1,80,83,100,100,2,4,3,2,,5,,24,7,,58,2,2,,,,
2024-11-18 07:59:29,2024-11-18 07:59:57,0,108.52.96.106,100,28,1,2024-11-18 07:59:57,R_10N5O5fgm8Gnj1c,,,,,40.0362,-75.5138,anonymous,EN,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:59:19,2024-11-18 08:00:11,0,47.146.209.103,100,51,1,2024-11-18 08:00:11,R_6s5RR8NW0mHmeXr,,,,,34.7148,-117.8756,anonymous,EN,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:57:22,2024-11-18 08:00:36,0,73.21.214.50,100,193,1,2024-11-18 08:00:37,R_7ZQafiYtlL7UvFJ,,,,,28.9274,-81.9819,anonymous,EN,1,10,2,5,Model 3,2,1,1,99,90,99,100,1,4,5,1,,4,,64,4,,61,2,2,,,,
2024-11-18 07:55:28,2024-11-18 08:01:31,0,45.196.40.33,100,363,1,2024-11-18 08:01:32,R_1hWh16u22KFUnfK,,,,,37.751,-97.822,anonymous,EN,1,"2,4,10",2,5,Cybertruck,1,1,1,77,80,70,87,2,4,5,1,,1,,53,4,,66,2,3,,,,
2024-11-18 08:01:18,2024-11-18 08:01:48,0,98.242.218.246,100,30,1,2024-11-18 08:01:48,R_7lyH0OAMhxhoDbu,,,,,25.6944,-80.4393,anonymous,EN,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:55:26,2024-11-18 08:03:22,0,64.79.248.82,100,475,1,2024-11-18 08:03:22,R_5LnfpZUQpsfErS5,,,,,37.751,-97.822,anonymous,EN,1,10,2,5,Model X,2,1,1,99,100,99,93,2,4,6,2,,1,,39,5,,78,2,2,,,,
2024-11-18 07:53:36,2024-11-18 08:03:57,0,154.7.225.124,100,621,1,2024-11-18 08:03:58,R_12VK1sDAR7oZYPn,,,,,39.0469,-77.4903,anonymous,EN,1,10,2,5,Model S,2,1,1,85,98,91,100,2,4,6,2,,3,,34,5,,93,2,2,,,,
2024-11-18 08:00:09,2024-11-18 08:04:19,0,70.37.194.196,100,249,1,2024-11-18 08:04:19,R_7umRGQegdhXZYIh,,,,,42.9087,-98.8455,anonymous,EN,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 08:01:48,2024-11-18 08:04:31,0,207.230.114.55,100,163,1,2024-11-18 08:04:31,R_3fGMfGs0jnmpHoy,,,,,37.751,-97.822,anonymous,EN,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 07:59:33,2024-11-18 08:04:47,0,174.209.195.40,100,314,1,2024-11-18 08:04:48,R_3pmMvfmhXsz59CM,,,,,33.716,-84.5297,anonymous,EN,1,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 08:03:19,2024-11-18 08:05:14,0,172.98.167.30,100,115,1,2024-11-18 08:05:15,R_7mtM3Hb88Zy9C37,,,,,37.751,-97.822,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 08:04:08,2024-11-18 08:05:20,0,104.251.93.239,100,72,1,2024-11-18 08:05:21,R_1NrUWIbV6leBv8d,,,,,37.751,-97.822,anonymous,EN,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 08:02:47,2024-11-18 08:06:02,0,108.36.250.131,100,194,1,2024-11-18 08:06:02,R_7NFcXn7iZT6H2DI,,,,,40.4438,-75.3426,anonymous,EN,1,"1,10,11",2,5,y,2,1,1,100,100,8,10,2,4,6,2,,4,,35,3,,75,2,2,,,,
2024-11-18 08:05:25,2024-11-18 08:06:16,0,136.50.40.83,100,50,1,2024-11-18 08:06:16,R_7PTubI1YbWbeo7Q,,,,,29.4963,-98.4004,anonymous,EN,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 08:06:34,2024-11-18 08:08:33,0,81.161.5.40,100,119,1,2024-11-18 08:08:33,R_6FogYLcLVFQ6pep,,,,,40.7662,-74.0178,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 08:08:38,2024-11-18 08:09:50,0,104.218.199.133,100,72,1,2024-11-18 08:09:50,R_3il6PvwERa6Dkl3,,,,,33.4475,-112.0866,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18 08:06:30,2024-11-18 08:10:35,0,104.218.199.29,100,244,1,2024-11-18 08:10:35,R_1fISpeicjgCjugK,,,,,33.4475,-112.0866,anonymous,EN,1,10,2,5,Model X,2,1,1,88,78,85,98,2,4,6,2,,1,,33,4,,77,2,2,,,,
2024-11-18 08:07:30,2024-11-18 08:10:43,0,162.172.45.66,100,192,1,2024-11-18 08:10:44,R_39udciNECSLMu3M,,,,,37.751,-97.822,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
